code,dept,dept_url,desc,name,url
CHEE11023,Chemical,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_chee.htm,"One half of this course covers adsorption and crystallization processes. The section on adsorption processes is aimed to understand how to design and operate a cyclic adsorption process and estimate its performance. To this end, we apply a mathematical method called Equilibrium Theory to various adsorption systems and learn a graphical method to construct a cyclic adsorption process cycle. The crystallisation process section comprises solid/liquid phase equilibrium, mass and energy balances and the analysis of a crystalliser (MSMPR).  The other half of the course, on distillation, comprises a discussion of composition and temperature profiles in ideal distillation columns, followed by examples and purposes of non-standard configurations and energy integration schemes for distillation. The modelling basis for tray-by-tray simulation of distillation columns is followed by a review of how azeotrope - forming mixtures can be separated. Topics include the causes of non-ideality, extractive and azeotropic distillation and composition trajectories.         Lectures 1-2: Adsorption breakthrough  Lectures 3-4: Equilibrium theory analysis of a PSA  Lecture 5: PSA scheduling  Lecture 6: Adsorption processes  Lecture 7-8: Phase equilibria in crystallization.  Lecture 9-10: Crystallizers  Lecture 11: Composition profiles in ideal distillation.  Lecture 12: Non-standard columns.  Lecture 13: Energy integration in ideal columns.  Lecture 14: Causes of non-ideality. Non-ideal K-values: relation to activity coefficients. Azeotropes. Pzx and Tzxzy diagrams for non-ideal and azeotropic systems. Difficulty of separating azeotropes. Infinite dilution K-values to predict azeotropes.  Lecture 15: Extractive distillation.  Lecture 16: Azeotropic distillation : ethanol z water z benzene example.  Lecture 17: Choice of mass separating agent.  Lecture 18: Use of pressure to break azeotropes.  Lecture 19: Non-ideal composition profiles.  Lecture 20: Distillation trajectories and distillation boundaries.        ",Separation Processes 5,http://www.drps.ed.ac.uk/20-21/dpt/cxchee11023.htm
CHEE11015,Chemical,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_chee.htm,"This course gives an introduction to polymer science and engineering, covering the properties of polymers, polymer reactions, polymer forming and production processes and polymer characterisation.         1. Introduction to polymers: Overview of applications 2. Polymer classification and terminology 3. Viscoelastic behaviour 4. Glass transition 5. Rubber Elasticity 6. Solution and phase behavior 7. Polymer crystallinity 8. Polymer structure vs thermal, rheological and physical properties 9. Making polymers - polymerisation mechanisms, free radical chain reactions, ionic polymerisation, condensation polymerisation, cooridination polymerisation 10. Copolymerisation 11. Polymer characterisation 12. Polymerisation in reactors - plug flow, CSTR, fluidised bed, batch reactor        ",Polymer Science and Engineering 5,http://www.drps.ed.ac.uk/20-21/dpt/cxchee11015.htm
CIVE11029,Civil,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_cive.htm,"The finite element method is an indispensable tool for engineers in all disciplines. This course introduces students to the fundamental theory of the finite element method as a general tool for numerically solving differential equations for a wide range of engineering problems. Field problems described by the Laplace, and Poisson equations are presented first and all steps of the FE formulation are described. Specific applications in heat transfer are demonstrated. The application of the method to elasticity problems is then developed from fundamental principles. Specific classes of problems are then discussed based on abstractions and idealisations of 3D solids, such as plane stress and strain, Euler-Bernoulli and Timoshenko beams and Kirchoff and Mindlin-Reissner plates and shells. Special topics such as multiple constraints and substructuring are introduced.         Lectures:  L1 Introduction L2 Recap of the direct stiffness method L3-L4: Approximation and weighted residuals L5-L6: Rayleigh-Ritz (variational) methods L7-L8: Heat transfer and general Poisson problems L9-L10: Poisson problems in two and three dimensions L11-L12: Elastostatics and thermal stress analysis L13-L14: Static condensation and multi-freedom constraints L15-L16: Beam and plate bending L17-L18: Revision  This is a postgraduate level finite element course which builds on the introductory course ""FEM for Solids and Structures"". The subject is approached in a more general sense in a relatively more mathematical framework. Many topics from the rich FEM literature are presented preferring breadth over depth. The course is primarily intended for MSc students and those undergraduates who are fascinated by the subject and would like to pursue higher degrees in the field of computational mechanics.  Accreditation of Higher Education Programmes Learning Outcomes: SM2m, SM5m, EA1b, EA2, G1 (Definite); EA3m, P4 (Possible)        ",The Finite Element Method 5,http://www.drps.ed.ac.uk/20-21/dpt/cxcive11029.htm
CIVE11038,Civil,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_cive.htm,"Structural Engineering Design Project 5 draws together the many analysis, design, planning and evaluation tools that have been learnt during a civil or structural engineering degree programme. It involves a substantial design project that mimics the real-world feasibility design of a bridge in a civil engineering design consultancy. The project is run with the help of experienced senior bridge engineers, helping to ensure that graduating students have skills needed to work as engineers in their practices, appropriate for a student graduating with an MEng degree.         Structural Engineering Design Project 5 mimics the real-world design of a bridge in a civil engineering consultancy. Students work within design teams to carry out a feasibility study for a new bridge, involving all aspects of the design process from the initial concept through to detailed design. One of the principle aims of the project is to draw together subjects learnt during the degree programme, to remind students of methods that they have perhaps forgotten, and to make sure they could start work in a real design office.  As in any real design situation, however, it will also be necessary to learn new skills to tackle the project, and in this case that will involve self-led study of aspects of bridge engineering (including construction methods, costs, Eurocodes for bridge design, and computer analysis tools). The project has been developed over many years with the help of experienced senior bridge engineers, based on the skills that are needed by graduate engineers in their practices and upon the type of problem that an engineer needs to be able to tackle to become chartered.  The range and depth of tasks that students tackle will be appropriate to a MEng degree.  The project is split into two parts.  During the first week students work on the Outline Design for two different concepts, which will involve selecting the most appropriate design tools to explore and develop the designs. During the second week, students proceed with the Detailed Design of one of these solutions, and there are opportunities for members of the design team to focus on different aspects of the detailed design (such as examining safe construction methods, or detailed modelling of a specific aspect of the bridge).  The course runs full-time for the first two weeks of semester 2.  To help lead students through the task, the project is split in to three submission stages, with a series of structured briefing, presentation, and review sessions.  The timetable for these sessions is adjusted depending upon the availability of the industry experts who assist with the project, and will be confirmed at the start of the course. Typically:  WEEK 1 Monday am: Initial briefing and industry expert briefing  Tuesday pm:  Design scheme Brainstorming.  Wednesday pm: Discussion session with Industry expert.  Friday pm: presentation of outline designs and submission A (outline design, group work) due.    WEEK 2 Monday am: Review meetings and industry expert briefing.  Friday pm: detailed design handover meetings and submission B (detailed design, group work).   Submission C involves individual reflection upon the design problem, due at the end of week 4.  It will also be possible to book meetings with the course lecturer to discuss the project.        ",Structural Engineering Design Project 5,http://www.drps.ed.ac.uk/20-21/dpt/cxcive11038.htm
ELEE11085,Electronics,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_elee.htm,"This course presents and assesses the fundamentals of solar energy conversion. It starts with a discussion of the resource and the mechanisms of its propagation through the atmosphere up to the point of conversion. It then discusses the various conversion processes (solar heating/cooling, concentrated thermal power generation and the photovoltaic phenomenon). The state-of-the-art of each of these technologies is then discussed, including their market and economic aspects.   The course includes a project, for which the students working in groups, undertake the design and dimensioning of a solar energy conversion system. Their results are submitted as a group report and presented at a poster session during the last lecture of the term.         Topics covered:  - The sun and the solar spectrum - Effects of Earth's atmosphere, orbit and rotation on insolation - Solar water heating systems - Solar space heating and cooling - Solar thermal power generation - Semiconductors for photovoltaics - Power electronics for photovoltaics - Grid-connected PV systems - Network integration aspects - Isolated PV systems - Solar energy storage        ",Solar Energy Conversion 5,http://www.drps.ed.ac.uk/20-21/dpt/cxelee11085.htm
ELEE11082,Electronics,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_elee.htm,"This course will equip the student with an understanding of sigma-delta data converters at a theoretical and practical level. The coursework makes a link between the digital signal processing concepts of sigma delta conversion and implementation in integrated circuit hardware.  The course will briefly review the basics of discrete-time signals and systems, before looking at block diagrams and circuit implementations of modulator structures. Saturation, stability and limit cycle behaviour of modulator loops will be described and related to circuit structure. Non-ideal behaviour of modulators such as noise, matching, finite gain and settling will be related to circuit level implementations.  The course will be illustrated throughout with MATLAB, Simulink and Cadence Verilog A examples linking to laboratory sessions and a design exercise issued at the start of semester.         Lecture 1:  Reminder of the basics of discrete-time signals and systems.  Topics include: sampling, aliasing,interpolation, reconstruction, quantization modelled as noise, and the effects of sampling jitter. General block diagram of oversampled system (ADC and DAC, decimation and interpolation). Frequency domain representation of signals and noise. Fourier series, Fourier transforms and computer-based computational techniques, including the Discrete Fourier Transform (DFT), Fast Fourier Transform (FFT), windowing and coherent sampling principles. Power spectral density (PSD). Averaging to reduce quantisation noise. The principles of delta-sigma modulation.  Principle of oversampling to reduce the effects of quantization noise, followed by noise-shaping to enhance performance. Block diagram of 1st order modulator. Time-domain model using a first-order lowpass system then followed by a frequency-domain description. Z-transfer function of NTF and STF. In-band and filtered noise. Power of noise and signal, SNR formula. Quantiser gain. Simulink examples.  Lecture 2: First order modulator continued. Time domain simulation. Limit cycles, idle tones and dither. Dead zone. Simulink examples.  Lecture 3:  Second order modulators.  Second-order modulator block diagrams. Z-transfer function of NTF, STF. MASH implementation. Single loop implementation. Comparison of 1st and 2nd order. Saturation. Dynamic range scaling equalisation at internal nodes. Limit cycles. Formula of SNR with modulator order and oversampling. Boser-Woolley, Silva-Steensgaard. Error feedback. Simulink examples.  Lecture 4:  Higher order modulators.  Higher-order block diagram. Implementation of higher order modulator as MASH or single loop. Instability. General higher order modulator. Placement of zeros in NTF. Feedback/feedforward to improve THD. NTF comparison. CIFF, CIFB, CRFF, CRFB structures. Matlab SD toolbox for design. Simulink examples.  Lecture 5:  Multi-bit feedback. Multi-bit quantisers. Effects on SQNR and stability. Simulink examples.  Lecture 6: DAC matching effects in multi-bit DAC. Mismatch effects on modulator linearity. Randomised selection of elements. Dynamic element matching (DEM). Data weighted averaging (DWA). Tones. Tree DEM. Multi-bit feedback in ADC. Simulink examples.  Lecture 7: Multi-stage modulators. 1+1+1, 2+1 MASH, SMASH. Stability. Error term generation. Simulink examples.  Lecture 8:  Circuit Implementation of Modulators.  Non overlapping clock generation.  Switched capacitor implementation of delaying and non-delaying integrators. Latched comparators. 2-level DAC implementation. First and second order switched capacitor modulator. Cadence examples.  Lecture 9:  Fully differential switched-capacitor modulators. Multi-bit quantiser and DAC implementation. Switch resistance and transmission gate sizing. Amplifier and switch settling. Synamic range scaling. Cadence  examples.  Lecture 10:  Noise sources. 1/f and thermal noise. kT/C noise in switched capacitor modulators. Capacitor sizing for noise. Total modulator noise. Cadence examples.  Lecture 11:  Guest lecture.         ",Sigma Delta Data Converters 5,http://www.drps.ed.ac.uk/20-21/dpt/cxelee11082.htm
MAEE11004,Management (School of Engineering),http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_maee.htm,"In an increasingly competitive and fast changing economic climate innovation represents a key route for organisations that want to survive and prosper. This course addresses the area of the management of technological innovation with a critical perspective on the key role of technology giving rise to new knowledge, products and processes. In so doing, it provides students with a clear understanding and appreciation of innovation dynamics both within and across organisational boundaries. The course draws from state of the art science, technology and innovation literature in which Edinburgh has longstanding strengths. By making extensive use of an in-depth role play case study materials, the course analyses opportunities and challenges related to creating, sustaining and managing innovation with a specific focus on technology-based organisations.         Not entered    ",Technology and Innovation Management 5,http://www.drps.ed.ac.uk/20-21/dpt/cxmaee11004.htm
MECE11008,Mechanical,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_mece.htm,"Wind energy is the fast growing renewable source for electricity generation. The objective of this course is to present a broad overview of the technology covering aspects such as the history of wind turbine development, the characteristics of the wind and its impact on site selection, and the design, manufacture, and operation of modern wind turbines. The course has a practical flavour, drawing on examples from the wind turbine engineering and development sectors. The political and economic implications of wind energy are explored in the final lecture.         Lecture 1 - Evolution of modern wind turbines Lecture 2 - The wind and its characteristices Lecture 3 - Wind Turbine Aerodynamics Lecture 4 - Structural design and analysis Lecture 5 - Electrical Aspects Lecture 6 - Wind Turbine control and operation Lecture 7 - materials and manufacture Lecture 8 - Planning and Siting Lecture 9 - Construction and offshore wind Lecture 10 - Politics, economics and case studies          ",Wind Energy 5,http://www.drps.ed.ac.uk/20-21/dpt/cxmece11008.htm
MECE11018,Mechanical,http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_mece.htm,"Solid materials interact with their environment through their surface phase. Surface engineering involves the methods and techniques used to alter, characterise and test the properties of material surfaces. Coatings play a major role as they provide the means to develop robust surfaces with special properties in order to not only protect materials from environmental and operational degradation but also to develop new functionalities. Applications include: advanced tribological coatings combining low friction and wear, adhesive coatings for structural engineering, self-cleaning surfaces, antibiofouling coatings.         Topics to be covered:  Surfaces: Microstructure, properties, and characterisation Coating deposition methods: Soft and hard coatings Coating properties and testing Corrosion and corrosion protection Fibre coatings (sizing) Low friction, wear resistant coatings Superhydrophobic coatings Adhesives Antibiofouling coatings Comparisons of different surface engineering technologies; case studies        ",Surface Engineering and Coatings 5,http://www.drps.ed.ac.uk/20-21/dpt/cxmece11018.htm
PGEE11042,Postgrad (School of Engineering),http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_pgee.htm,"This module will outline the basic concept of devices that integrate one or several laboratory functions on a single chip, and how they can offer advantages specific to their application.  Such advantages include: low fluid volumes that lead to lower reagent costs and smaller biological samples for diagnostic purposes; faster analysis and response times that also provide better process control; the ability through parallel processing to provide high-throughput screening; and inherent low fabrication costs that make disposable chips economically viable.  The influence of the scaling-down of dimensions on the physico-chemical behaviour of fluids and chemical reactions will also be covered.  Current applications of lab-on-chip devices will be given.         Not entered    ",Lab-on-Chip Technologies,http://www.drps.ed.ac.uk/20-21/dpt/cxpgee11042.htm
PGEE11046,Postgrad (School of Engineering),http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_pgee.htm,"The finite element method is an indispensable tool for engineers in all disciplines. This course introduces students to the fundamental theory of the finite element method as a general tool for numerically solving differential equations for a wide range of engineering problems. Field problems described by the Laplace, and Poisson equations are presented first and all steps of the FE formulation are described. Specific applications in heat transfer are demonstrated. The application of the method to elasticity problems is then developed from fundamental principles. Specific classes of problems are then discussed based on abstractions and idealisations of 3D solids, such as plane stress and strain, Euler-Bernoulli and Timoshenko beams and Kirchoff and Mindlin-Reissner plates and shells. Special topics such as multiple constraints and substructuring are introduced.         Lectures:  L1 Introduction L2 Recap of the direct stiffness method L3-L4: Approximation and weighted residuals L5-L6: Rayleigh-Ritz (variational) methods L7-L8: Heat transfer and general Poisson problems L9-L10: Poisson problems in two and three dimensions L11-L12: Elastostatics and thermal stress analysis L13-L14: Static condensation and multi-freedom constraints L15-L16: Beam and plate bending L17-L18: Revision  This is a postgraduate level finite element course which builds on the introductory course ""FEM for Solids and Structures"". The subject is approached in a more general sense in a relatively more mathematical framework. Many topics from the rich FEM literature are presented preferring breadth over depth. The course is primarily intended for MSc students and those undergraduates who are fascinated by the subject and would like to pursue higher degrees in the field of computational mechanics.  Accreditation of Higher Education Programmes Learning Outcomes: SM2m, SM5m, EA1b, EA2, G1 (Definite); EA3m, P4 (Possible)        ",The Finite Element Method,http://www.drps.ed.ac.uk/20-21/dpt/cxpgee11046.htm
CHEM11052,School (School of Engineering),http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_scee.htm,The course includes an extended small-group exercise that develops skills in all aspects of research project development and execution. Topics will be tailored as appropriate to the appropriate discipline.         Not entered    ,Research Methods in Integrated Sensing and Measurement,http://www.drps.ed.ac.uk/20-21/dpt/cxchem11052.htm
SCEE11011,School (School of Engineering),http://www.drps.ed.ac.uk/20-21/dpt/cx_sb_scee.htm,"The course focusses on recent advances in particle technology and its application in manufacturing and processing particulate products. It offers both fundamentals and industrial case studies. The lectures will draw from the state  of the art research and industrial practice. A computational module will also be taught mainly focusing on the discrete element method.          1. Introduction. Topics in PT, significance, history and state of the art, applications.  2. Particle level   mechanics.   Inter-particle   forces   and contact models 3. Continuum-level granular mechanics. Statics, stress and strain, failure models, stress analysis 4. Granular  flow  fundamentals.  Inertial,  quasi-static  and intermediate flows, dry and wet flows. 5. Cohesive   powders   flow.   Cohesivity,   flow   function, cohesion effects on flow behaviour. 6. Rheology   of   suspensions,   pastes   and   foodstuff. Viscosity,  flow  curves  and  relations  to  dry  granular rheology. 7. Granular  flows  in  silos  and  hoppers.  Flow  pattern, discharge rate and stress distributions. 8. Industrial case study 1: chemicals sector  9. Industrial case study 2: pharmaceuticals sector 10. Modelling    and    simulation    fundamentals.    Discrete element  method  and  its  scaling  up  to  continuum information.  11. Modelling and Simulation of industrial processes.         ",Particle Technology Fundamentals and Industrial Applications 5,http://www.drps.ed.ac.uk/20-21/dpt/cxscee11011.htm
